REQUEST_ID,CREATED_ON,REQUEST_TYPE,REQUEST_ORIGIN,STATUS,DEPARTMENT,NEIGHBORHOOD,COUNCIL_DISTRICT,WARD,TRACT,PUBLIC_WORKS_DIVISION,PLI_DIVISION,POLICE_ZONE,FIRE_ZONE,X,Y,GEO_ACCURACY
185043,2017-09-06T15:59:00,Prostitution,Report2Gov iOS,1,,Central Northside,1,22,42003220600,1,22,1,6-Jan,-80.00465664,40.4568407,APPROXIMATE
178036,2017-08-09T15:46:00,Prostitution,Website,1,,Garfield,9,10,42003101700,2,10,5,4-Mar,-79.93834884,40.46646579,APPROXIMATE
160551,2017-06-08T16:45:00,Prostitution,Call Center,1,,East Allegheny,1,23,42003563200,1,23,1,20-Jan,-79.99802613,40.45312481,APPROXIMATE
162726,2017-06-16T14:23:00,Prostitution,Call Center,1,,Brookline,4,19,42003191800,5,19,6,26-Apr,-80.02621383,40.39287425,APPROXIMATE
151228,2017-05-05T15:11:00,Prostitution,Call Center,1,Police - Narcotics,East Allegheny,1,23,42003563200,1,23,1,5-Jan,-79.99697486,40.45755598,APPROXIMATE
89755,2016-07-20T15:45:00,Prostitution,Call Center,1,,Carrick,4,29,42003290100,3,29,3,23-Apr,-79.99462343,40.4016353,APPROXIMATE
104379,2016-09-14T17:57:00,Prostitution,Report2Gov iOS,1,,East Allegheny,1,23,42003563200,1,23,1,5-Jan,-79.9968722,40.45721538,APPROXIMATE
102971,2016-09-08T17:14:00,Prostitution,Report2Gov iOS,1,,East Allegheny,1,23,42003563200,1,23,1,20-Jan,-79.99777936,40.4528672,APPROXIMATE
100528,2016-08-29T14:03:00,Prostitution,Call Center,1,,Central Northside,6,25,42003250300,1,25,1,21-Jan,-80.01207409,40.4586866,APPROXIMATE
97958,2016-08-18T16:19:00,Prostitution,Call Center,1,,East Allegheny,1,23,42003563200,1,23,1,5-Jan,-79.99720754,40.45743179,APPROXIMATE
91361,2016-07-26T15:45:00,Prostitution,Call Center,1,,Garfield,9,10,42003101700,2,10,5,4-Mar,-79.93839425,40.46660855,APPROXIMATE
90476,2016-07-22T19:25:00,Prostitution,Report2Gov iOS,1,,East Allegheny,1,23,42003563200,1,23,1,5-Jan,-79.99695623,40.45740838,APPROXIMATE
90475,2016-07-22T19:21:00,Prostitution,Report2Gov iOS,1,,East Allegheny,1,23,42003563200,1,23,1,5-Jan,-79.99721876,40.45712131,APPROXIMATE
90388,2016-07-22T14:06:00,Prostitution,Call Center,1,,East Allegheny,1,23,42003563200,1,23,1,20-Jan,-79.99801255,40.45288126,APPROXIMATE
88588,2016-07-16T21:11:00,Prostitution,Website,1,,East Allegheny,1,23,42003563200,1,23,1,20-Jan,-79.99758007,40.45300561,APPROXIMATE
87751,2016-07-13T13:56:00,Prostitution,Call Center,1,,East Allegheny,1,23,42003563200,1,23,1,20-Jan,-79.99760948,40.45278676,APPROXIMATE
82803,2016-06-24T18:27:00,Prostitution,Call Center,1,Police - Narcotics,East Allegheny,1,23,42003563200,1,23,1,5-Jan,-79.99686559,40.45719954,APPROXIMATE
206751,2018-01-08T07:31:00,Prostitution,Call Center,0,,Homewood South,9,13,42003130400,2,13,5,17-Mar,-79.88871716,40.454315,APPROXIMATE
206752,2018-01-08T07:32:00,Prostitution,Call Center,3,,Homewood South,9,13,42003130400,2,13,5,17-Mar,-79.88888419,40.45431367,APPROXIMATE
215720,2018-02-05T16:35:00,Prostitution,Call Center,0,,Overbrook,4,32,42003320400,5,32,3,23-Apr,-79.99522732,40.39144195,APPROXIMATE
227643,2018-03-06T13:19:00,Prostitution,Call Center,0,,South Side Flats,3,17,42003170200,3,17,3,24-Apr,-79.98512563,40.42715941,APPROXIMATE
230190,2018-03-16T12:54:00,Prostitution,Call Center,0,,Carrick,4,29,42003290100,3,29,3,23-Apr,-79.9907458,40.3976527,APPROXIMATE
237266,2018-04-09T15:23:00,Prostitution,Report2Gov iOS,1,,Central Northside,1,22,42003220600,1,22,1,6-Jan,-80.00492694,40.45667917,APPROXIMATE
250522,2018-05-21T07:36:00,Prostitution,Website,1,,East Allegheny,1,23,42003563200,1,23,1,20-Jan,-79.99783749,40.45281853,APPROXIMATE
254413,2018-05-31T13:13:00,Prostitution,Website,0,Police - Narcotics,East Allegheny,1,23,42003563200,1,23,1,20-Jan,-79.99774444,40.45282006,APPROXIMATE
269097,2018-07-10T16:19:00,Prostitution,Call Center,0,,Upper Hill,6,5,42003050600,3,5,2,22-Feb,-79.95697679,40.45143263,APPROXIMATE
271575,2018-07-18T11:57:00,Prostitution,Call Center,1,,East Allegheny,1,23,42003563200,1,23,1,20-Jan,-79.99761396,40.45276459,APPROXIMATE
271603,2018-07-18T12:47:00,Prostitution,Call Center,0,,East Allegheny,1,23,42003563200,1,23,1,20-Jan,-79.99756792,40.45303773,APPROXIMATE
288354,2018-09-13T21:07:00,Prostitution,Website,0,,East Allegheny,1,23,42003563200,1,23,1,20-Jan,-79.99783278,40.45275123,APPROXIMATE
